cod;nombre;provincia;ccaa;pob2025;sup_km2;densidad;pob_0_15;pob_16_64;pct_16_64;pob_65_mas;pct_65_mas;es_zona_rural;paro_total;paro_h_m25;paro_h_25_44;paro_h_m45;paro_m_m25;paro_m_25_44;paro_m_m45;paro_agri;paro_indus;paro_constr;paro_serv;paro_sin_emp;tasa_paro_est;contr_total;contr_h_indef;contr_h_temp;contr_m_indef;contr_m_temp;contr_agri;contr_indus;contr_constr;contr_serv;anio_pob;anio_edad;anio_sup;anio_paro
01001;Alegría-Dulantzi;Araba/Álava;País Vasco;2955;19.95;148.12;478;2085;70.6;398;13.5;NO;164;11;24;38;8;39;44;2;19;9;104;28;7.9;59;11;24;2;20;2;15;2;39;2025;2025;2020;Abril 2026
01002;Amurrio;Araba/Álava;País Vasco;10364;96.35;107.57;1602;6184;59.7;2560;24.7;NO;717;38;86;153;26;167;247;13;94;38;443;129;11.6;259;12;163;12;60;2;170;2;83;2025;2025;2020;Abril 2026
01003;Aramaio;Araba/Álava;País Vasco;1354;73.26;18.48;183;826;61.0;344;25.4;SI;2;0;0;2;0;0;0;;0;0;2;;0.2;16;2;8;2;2;2;9;;6;2025;2025;2020;Abril 2026
01004;Artziniega;Araba/Álava;País Vasco;1868;27.29;68.45;312;1172;62.7;384;20.6;SI;93;7;10;23;2;14;36;2;13;5;61;13;7.9;18;2;9;0;6;2;6;2;10;2025;2025;2020;Abril 2026
01006;Armiñón;Araba/Álava;País Vasco;236;12.94;18.24;34;170;72.0;29;12.3;SI;11;2;2;5;;2;2;0;0;;10;2;6.5;2;;;0;0;;2;;;2025;2025;2020;Abril 2026
01008;Arratzua-Ubarrundia;Araba/Álava;País Vasco;1056;57.56;18.35;151;659;62.4;248;23.5;SI;26;2;2;7;2;2;13;2;6;2;15;2;3.9;250;12;67;5;158;;9;;241;2025;2025;2020;Abril 2026
01009;Asparrena;Araba/Álava;País Vasco;1609;65.34;24.63;197;1039;64.6;375;23.3;SI;63;2;13;15;0;19;15;2;10;2;42;7;6.1;165;2;70;2;88;2;111;;52;2025;2025;2020;Abril 2026
01010;Ayala/Aiara;Araba/Álava;País Vasco;2921;140.74;20.75;420;1941;66.4;556;19.0;SI;118;8;10;28;2;21;48;2;13;5;88;9;6.1;69;7;33;2;26;;28;;41;2025;2025;2020;Abril 2026
01011;Baños de Ebro/Mañueta;Araba/Álava;País Vasco;286;9.46;30.23;23;192;67.1;77;26.9;SI;11;2;2;2;;2;2;6;2;2;2;;5.7;5;2;2;0;2;2;;;2;2025;2025;2020;Abril 2026
01013;Barrundia;Araba/Álava;País Vasco;882;97.42;9.05;112;563;63.8;207;23.5;SI;27;0;6;6;0;2;11;2;2;2;17;2;4.8;11;2;2;7;2;;;;11;2025;2025;2020;Abril 2026
01014;Berantevilla;Araba/Álava;País Vasco;461;35.73;12.9;59;305;66.2;111;24.1;SI;15;0;2;2;;5;5;2;2;0;13;0;4.9;9;0;6;2;2;;6;;2;2025;2025;2020;Abril 2026
01016;Bernedo;Araba/Álava;País Vasco;541;130.44;4.15;44;340;62.8;157;29.0;SI;14;0;0;5;2;2;5;0;2;0;9;2;4.1;16;2;0;0;14;;7;;9;2025;2025;2020;Abril 2026
01017;Campezo/Kanpezu;Araba/Álava;País Vasco;1073;85.36;12.57;122;686;63.9;263;24.5;SI;40;2;2;13;0;12;12;2;2;2;28;5;5.8;14;0;7;2;2;;7;;7;2025;2025;2020;Abril 2026
01018;Zigoitia;Araba/Álava;País Vasco;1845;102.07;18.08;231;1153;62.5;457;24.8;SI;53;2;8;14;2;8;20;0;8;2;38;5;4.6;41;8;6;6;21;5;;;36;2025;2025;2020;Abril 2026
01019;Kripan;Araba/Álava;País Vasco;174;12.52;13.9;15;113;64.9;47;27.0;SI;0;0;0;;0;0;0;0;0;;0;;0.0;;;;;;;;;;2025;2025;2020;Abril 2026
01020;Kuartango;Araba/Álava;País Vasco;402;84.03;4.78;61;225;56.0;116;28.9;SI;12;;2;5;0;2;2;0;2;0;7;2;5.3;2;;;0;2;2;;;;2025;2025;2020;Abril 2026
01021;Elburgo/Burgelu;Araba/Álava;País Vasco;642;32.09;20.01;93;425;66.2;123;19.2;SI;18;0;0;5;2;0;12;0;2;0;14;2;4.2;54;2;21;2;31;;;;54;2025;2025;2020;Abril 2026
01022;Elciego;Araba/Álava;País Vasco;971;16.32;59.5;145;578;59.5;247;25.4;SI;35;0;2;8;2;8;14;11;2;2;14;5;6.1;47;8;15;6;16;10;11;;26;2025;2025;2020;Abril 2026
01023;Elvillar/Bilar;Araba/Álava;País Vasco;315;17.5;18.0;28;193;61.3;94;29.8;SI;9;2;2;2;0;2;2;2;2;0;2;0;4.7;2;0;2;0;2;2;;;2;2025;2025;2020;Abril 2026
01027;Iruraiz-Gauna;Araba/Álava;País Vasco;559;47.13;11.86;64;376;67.3;116;20.8;SI;9;0;2;2;0;2;5;0;2;0;7;0;2.4;7;0;2;2;2;;2;;6;2025;2025;2020;Abril 2026
01028;Labastida/Bastida;Araba/Álava;País Vasco;1558;38.17;40.82;260;981;63.0;332;21.3;SI;68;2;5;14;2;29;13;11;7;2;35;13;6.9;56;2;33;5;14;17;17;;22;2025;2025;2020;Abril 2026
01030;Lagrán;Araba/Álava;País Vasco;177;45.62;3.88;14;98;55.4;65;36.7;SI;2;;2;2;;0;0;2;0;2;0;0;2.0;;;;;;;;;;2025;2025;2020;Abril 2026
01031;Laguardia;Araba/Álava;País Vasco;1459;80.97;18.02;175;939;64.4;354;24.3;SI;37;2;6;12;2;9;8;6;2;2;22;2;3.9;132;18;56;8;40;47;11;5;69;2025;2025;2020;Abril 2026
01032;Lanciego/Lantziego;Araba/Álava;País Vasco;700;24.25;28.87;121;415;59.3;170;24.3;SI;24;0;2;6;0;9;7;5;2;2;8;7;5.8;18;5;9;2;2;7;2;;9;2025;2025;2020;Abril 2026
01033;Lapuebla de Labarca;Araba/Álava;País Vasco;895;5.99;149.42;148;561;62.7;186;20.8;NO;51;2;2;11;2;16;17;9;2;2;28;8;9.1;38;2;23;2;9;33;;;5;2025;2025;2020;Abril 2026
01034;Leza;Araba/Álava;País Vasco;205;9.92;20.67;27;117;57.1;60;29.3;SI;9;2;2;2;0;2;2;2;2;0;2;2;7.7;10;0;10;;;10;;;;2025;2025;2020;Abril 2026
01036;Laudio/Llodio;Araba/Álava;País Vasco;18077;37.56;481.28;2328;10856;60.1;4879;27.0;NO;1063;35;119;287;38;233;351;12;163;39;689;160;9.8;350;29;158;16;132;5;139;30;176;2025;2025;2020;Abril 2026
01037;Arraia-Maeztu;Araba/Álava;País Vasco;812;123.11;6.6;130;493;60.7;195;24.0;SI;24;0;2;5;2;5;9;2;2;0;14;5;4.9;8;2;2;2;2;;2;;6;2025;2025;2020;Abril 2026
01039;Moreda de Álava/Moreda Araba;Araba/Álava;País Vasco;218;8.67;25.14;26;134;61.5;58;26.6;SI;7;2;0;2;0;2;0;0;0;;6;2;5.2;2;2;2;;;2;2;;;2025;2025;2020;Abril 2026
01041;Navaridas;Araba/Álava;País Vasco;192;8.92;21.52;24;131;68.2;45;23.4;SI;2;;0;2;;2;0;2;0;;2;2;1.5;15;2;13;;;15;;;;2025;2025;2020;Abril 2026
01042;Okondo;Araba/Álava;País Vasco;1184;29.79;39.74;168;772;65.2;240;20.3;SI;52;6;2;12;2;11;18;0;11;2;38;2;6.7;36;0;14;2;19;;23;;13;2025;2025;2020;Abril 2026
01043;Oyón-Oion;Araba/Álava;País Vasco;3476;45.18;76.94;645;2293;66.0;603;17.3;SI;252;18;31;45;11;71;76;26;23;8;138;57;11.0;104;42;30;13;9;45;41;2;14;2025;2025;2020;Abril 2026
01044;Peñacerrada-Urizaharra;Araba/Álava;País Vasco;332;62.18;5.34;41;225;67.8;66;19.9;SI;8;0;2;5;0;2;2;;2;2;2;0;3.6;2;2;0;0;2;2;2;;;2025;2025;2020;Abril 2026
01046;Erriberagoitia/Ribera Alta;Araba/Álava;País Vasco;839;119.78;7.0;91;577;68.8;174;20.7;SI;25;0;2;8;0;2;11;2;2;2;20;0;4.3;15;5;2;0;7;;;5;10;2025;2025;2020;Abril 2026
01047;Ribera Baja/Erriberabeitia;Araba/Álava;País Vasco;1477;25.36;58.24;217;1028;69.6;248;16.8;SI;57;2;7;10;2;14;21;2;5;0;40;11;5.5;41;19;13;2;6;;19;2;18;2025;2025;2020;Abril 2026
01049;Añana;Araba/Álava;País Vasco;141;21.92;6.43;11;84;59.6;46;32.6;SI;2;;0;2;2;0;0;0;0;0;2;2;2.4;2;2;2;;;;;;2;2025;2025;2020;Abril 2026
01051;Agurain/Salvatierra;Araba/Álava;País Vasco;5189;37.77;137.38;980;3202;61.7;991;19.1;NO;306;14;48;53;10;91;90;2;41;12;187;63;9.6;162;6;78;11;62;;37;5;120;2025;2025;2020;Abril 2026
01052;Samaniego;Araba/Álava;País Vasco;292;10.64;27.44;44;192;65.8;56;19.2;SI;5;;2;0;;2;2;2;2;;2;2;2.6;8;0;2;2;2;2;2;2;2;2025;2025;2020;Abril 2026
01053;San Millán/Donemiliaga;Araba/Álava;País Vasco;701;85.41;8.21;88;428;61.1;188;26.8;SI;10;0;2;2;0;2;2;;5;0;5;0;2.3;6;2;2;0;2;2;;;5;2025;2025;2020;Abril 2026
01054;Urkabustaiz;Araba/Álava;País Vasco;1470;60.85;24.16;241;977;66.5;242;16.5;SI;70;2;6;14;2;21;24;0;6;2;50;12;7.2;11;2;0;2;5;;2;;8;2025;2025;2020;Abril 2026
01055;Valdegovía/Gaubea;Araba/Álava;País Vasco;1064;238.27;4.47;87;653;61.4;323;30.4;SI;40;2;10;15;0;2;10;2;9;2;21;2;6.1;122;2;55;5;55;104;7;;11;2025;2025;2020;Abril 2026
01056;Harana/Valle de Arana;Araba/Álava;País Vasco;212;39.12;5.42;14;122;57.5;77;36.3;SI;10;;2;5;;2;2;;0;2;8;2;8.2;2;2;0;;;;;;2;2025;2025;2020;Abril 2026
01057;Villabuena de Álava/Eskuernaga;Araba/Álava;País Vasco;276;8.48;32.55;27;169;61.2;84;30.4;SI;9;;2;0;2;2;2;2;0;0;5;2;5.3;29;2;12;2;10;18;2;2;9;2025;2025;2020;Abril 2026
01058;Legutio;Araba/Álava;País Vasco;2094;45.85;45.67;320;1390;66.4;384;18.3;SI;112;2;11;42;2;28;26;2;17;8;67;18;8.1;145;24;70;6;39;;101;2;40;2025;2025;2020;Abril 2026
01059;Vitoria-Gasteiz;Araba/Álava;País Vasco;260699;276.66;942.31;37244;163511;62.7;59647;22.9;NO;13758;569;1833;3071;495;3418;4372;289;1165;601;9528;2175;8.4;9726;1291;4100;1250;2937;6;1758;225;7737;2025;2025;2020;Abril 2026
01060;Yécora/Iekora;Araba/Álava;País Vasco;278;18.8;14.79;39;157;56.5;80;28.8;SI;10;0;0;2;2;6;2;0;0;0;2;8;6.4;64;22;18;7;16;48;;;16;2025;2025;2020;Abril 2026
01061;Zalduondo;Araba/Álava;País Vasco;195;11.88;16.41;17;143;73.3;36;18.5;SI;2;2;0;2;;0;2;0;2;;2;2;1.4;2;0;2;;;;;;2;2025;2025;2020;Abril 2026
01062;Zambrana;Araba/Álava;País Vasco;452;39.51;11.44;55;290;64.2;107;23.7;SI;26;2;2;7;0;2;10;2;2;2;18;2;9.0;;;;;;;;;;2025;2025;2020;Abril 2026
01063;Zuia;Araba/Álava;País Vasco;2350;122.49;19.19;240;1591;67.7;534;22.7;SI;70;5;5;18;2;18;23;2;9;2;56;2;4.4;47;2;18;2;23;2;;2;43;2025;2025;2020;Abril 2026
01901;Iruña Oka/Iruña de Oca;Araba/Álava;País Vasco;3704;53.25;69.56;574;2609;70.4;514;13.9;SI;150;12;23;24;5;39;47;2;18;6;94;29;5.7;149;21;92;2;28;;51;5;93;2025;2025;2020;Abril 2026
01902;Lantarón;Araba/Álava;País Vasco;929;67.49;13.77;88;597;64.3;250;26.9;SI;30;2;2;9;0;9;8;2;2;2;19;5;5.0;98;7;62;2;26;;66;;32;2025;2025;2020;Abril 2026
02001;Abengibre;Albacete;Castilla-La Mancha;753;30.77;24.47;53;434;57.6;260;34.5;SI;23;;0;5;2;2;13;2;2;0;19;;5.3;20;2;6;2;7;;2;;19;2025;2025;2020;Abril 2026
02002;Alatoz;Albacete;Castilla-La Mancha;504;63.86;7.89;36;284;56.3;186;36.9;SI;30;0;2;10;2;7;11;2;0;2;25;2;10.6;7;2;2;2;2;2;;;6;2025;2025;2020;Abril 2026
02003;Albacete;Albacete;Castilla-La Mancha;175400;1126.99;155.64;25951;116412;66.4;32705;18.6;NO;9113;402;1110;1723;413;1914;3551;293;767;413;6673;967;7.8;4271;1111;950;782;1311;520;305;224;3222;2025;2025;2020;Abril 2026
02004;Albatana;Albacete;Castilla-La Mancha;644;30.5;21.11;63;384;59.6;206;32.0;SI;36;;2;8;0;6;20;2;2;2;26;2;9.4;17;2;10;0;6;14;2;2;2;2025;2025;2020;Abril 2026
02005;Alborea;Albacete;Castilla-La Mancha;672;71.87;9.35;64;438;65.2;186;27.7;SI;44;2;2;11;2;9;16;7;2;2;30;2;10.0;23;2;6;2;11;2;11;2;10;2025;2025;2020;Abril 2026
02006;Alcadozo;Albacete;Castilla-La Mancha;635;99.59;6.38;49;390;61.4;199;31.3;SI;40;2;2;8;;8;21;0;2;2;31;2;10.3;14;2;8;2;2;;;;14;2025;2025;2020;Abril 2026
02007;Alcalá del Júcar;Albacete;Castilla-La Mancha;1130;146.82;7.7;117;674;59.6;365;32.3;SI;51;2;2;17;2;6;20;2;2;2;41;2;7.6;58;17;15;14;8;2;2;2;50;2025;2025;2020;Abril 2026
02008;Alcaraz;Albacete;Castilla-La Mancha;1283;370.53;3.46;134;812;63.3;335;26.1;SI;95;2;8;26;9;16;34;6;2;2;79;2;11.7;37;2;11;8;15;2;;2;33;2025;2025;2020;Abril 2026
02009;Almansa;Albacete;Castilla-La Mancha;24615;531.82;46.28;3361;15852;64.4;5390;21.9;SI;1401;65;140;240;54;269;633;33;269;57;874;168;8.8;453;77;131;69;141;11;112;30;300;2025;2025;2020;Abril 2026
02010;Alpera;Albacete;Castilla-La Mancha;2278;178.47;12.76;307;1465;64.3;548;24.1;SI;127;2;11;26;2;28;57;11;20;5;83;8;8.7;28;2;9;2;11;8;2;;16;2025;2025;2020;Abril 2026
02011;Ayna;Albacete;Castilla-La Mancha;577;146.59;3.94;19;312;54.1;244;42.3;SI;24;2;2;13;0;2;2;0;2;2;19;2;7.7;15;0;2;6;5;;;;15;2025;2025;2020;Abril 2026
02012;Balazote;Albacete;Castilla-La Mancha;2356;65.15;36.16;328;1604;68.1;436;18.5;SI;96;5;10;12;2;12;54;2;12;7;72;2;6.0;163;102;5;43;9;125;2;7;27;2025;2025;2020;Abril 2026
02013;Balsa de Ves;Albacete;Castilla-La Mancha;121;76.35;1.58;5;78;64.5;41;33.9;SI;11;0;2;2;;2;2;2;2;0;7;2;14.1;2;2;0;2;2;2;;2;2;2025;2025;2020;Abril 2026
02014;Ballestero, El;Albacete;Castilla-La Mancha;411;138.69;2.96;44;223;54.3;144;35.0;SI;13;;2;2;0;2;8;0;2;0;11;;5.8;10;0;2;0;6;2;2;;7;2025;2025;2020;Abril 2026
02015;Barrax;Albacete;Castilla-La Mancha;1838;189.86;9.68;217;1306;71.1;349;19.0;SI;125;2;10;17;2;28;67;12;11;2;94;5;9.6;49;26;9;9;2;39;2;2;2;2025;2025;2020;Abril 2026
02016;Bienservida;Albacete;Castilla-La Mancha;548;90.73;6.04;47;323;58.9;179;32.7;SI;36;2;0;5;0;6;24;2;0;2;32;;11.1;2;2;2;0;2;2;2;;2;2025;2025;2020;Abril 2026
02017;Bogarra;Albacete;Castilla-La Mancha;727;166.01;4.38;45;360;49.5;325;44.7;SI;56;2;2;22;2;6;22;2;2;9;42;0;15.6;5;2;2;2;2;;;;5;2025;2025;2020;Abril 2026
02018;Bonete;Albacete;Castilla-La Mancha;950;125.06;7.6;87;592;62.3;269;28.3;SI;52;2;2;10;0;13;25;6;2;2;36;2;8.8;24;9;10;2;2;5;2;6;12;2025;2025;2020;Abril 2026
02019;Bonillo, El;Albacete;Castilla-La Mancha;2645;502.66;5.26;252;1729;65.4;665;25.1;SI;152;2;11;33;7;17;82;13;8;9;116;6;8.8;22;7;2;6;2;12;2;;9;2025;2025;2020;Abril 2026
02020;Carcelén;Albacete;Castilla-La Mancha;483;75.36;6.41;41;267;55.3;182;37.7;SI;23;2;0;7;2;2;12;2;2;2;17;2;8.6;7;2;0;2;2;2;;;5;2025;2025;2020;Abril 2026
02021;Casas de Juan Núñez;Albacete;Castilla-La Mancha;1409;88.98;15.84;201;920;65.3;300;21.3;SI;101;2;13;11;2;20;49;2;7;0;79;11;11.0;23;5;5;2;7;2;2;2;17;2025;2025;2020;Abril 2026
02022;Casas de Lázaro;Albacete;Castilla-La Mancha;298;112.32;2.65;0;174;58.4;123;41.3;SI;15;;2;2;;2;5;2;2;2;11;;8.6;2;;;2;2;;;;2;2025;2025;2020;Abril 2026
02023;Casas de Ves;Albacete;Castilla-La Mancha;519;125.09;4.15;37;290;55.9;203;39.1;SI;16;0;2;2;2;2;6;2;2;2;13;0;5.5;15;0;6;2;8;;;;15;2025;2025;2020;Abril 2026
02024;Casas-Ibáñez;Albacete;Castilla-La Mancha;4616;103.25;44.71;633;3005;65.1;976;21.1;SI;200;7;25;27;2;46;92;23;18;9;139;11;6.7;93;22;22;29;19;29;9;2;52;2025;2025;2020;Abril 2026
02025;Caudete;Albacete;Castilla-La Mancha;10439;141.63;73.71;1688;6623;63.4;2170;20.8;SI;681;31;64;124;41;164;257;35;95;30;449;72;10.3;138;30;30;11;64;2;44;9;83;2025;2025;2020;Abril 2026
02026;Cenizate;Albacete;Castilla-La Mancha;1163;63.26;18.38;157;748;64.3;262;22.5;SI;49;0;2;9;2;6;29;10;2;2;34;2;6.6;28;6;11;0;10;10;2;2;14;2025;2025;2020;Abril 2026
02027;Corral-Rubio;Albacete;Castilla-La Mancha;303;94.76;3.2;26;181;59.7;95;31.4;SI;12;0;0;2;2;2;5;2;0;0;7;2;6.6;9;9;0;;;9;;;;2025;2025;2020;Abril 2026
02028;Cotillas;Albacete;Castilla-La Mancha;123;14.47;8.5;4;75;61.0;44;35.8;SI;17;;0;11;;2;2;2;2;;12;;22.7;;;;;;;;;;2025;2025;2020;Abril 2026
02029;Chinchilla de Monte-Aragón;Albacete;Castilla-La Mancha;4614;679.27;6.79;712;3202;69.4;745;16.1;SI;206;7;17;38;5;45;94;2;18;10;159;18;6.4;151;57;55;16;21;15;54;2;79;2025;2025;2020;Abril 2026
02030;Elche de la Sierra;Albacete;Castilla-La Mancha;3603;239.49;15.04;463;2289;63.5;854;23.7;SI;276;13;14;53;6;49;141;14;22;11;215;14;12.1;75;18;16;14;27;6;2;6;61;2025;2025;2020;Abril 2026
02031;Férez;Albacete;Castilla-La Mancha;604;126.14;4.79;61;359;59.4;184;30.5;SI;62;2;2;9;2;11;36;2;2;2;52;2;17.3;2;2;0;0;2;;;2;;2025;2025;2020;Abril 2026
02032;Fuensanta;Albacete;Castilla-La Mancha;282;23.96;11.77;20;168;59.6;106;37.6;SI;22;2;2;6;0;2;9;2;2;2;16;;13.1;24;9;7;5;2;11;;;13;2025;2025;2020;Abril 2026
